id,original_name,generated_name,authors,year,name,journal
14,Facilitating Conditions,Facilitating Conditions,"Viswanath Venkatesh, Susan A. Brown, Likoebe M. Maruping, and Hillol Bala",2008,"Predicting Different Conceptualizations of System Use: The Competing Roles of Behavioral Intention, Facilitating Conditions, and Behavioral Expectation",MIS Quarterly
15,Behavioral Intention,Behavioral Intention,"Viswanath Venkatesh, Susan A. Brown, Likoebe M. Maruping, and Hillol Bala",2008,"Predicting Different Conceptualizations of System Use: The Competing Roles of Behavioral Intention, Facilitating Conditions, and Behavioral Expectation",MIS Quarterly
16,Behavioral Expectation,Behavioral Expectation,"Viswanath Venkatesh, Susan A. Brown, Likoebe M. Maruping, and Hillol Bala",2008,"Predicting Different Conceptualizations of System Use: The Competing Roles of Behavioral Intention, Facilitating Conditions, and Behavioral Expectation",MIS Quarterly
17,Duration of use,Duration of Use,"Viswanath Venkatesh, Susan A. Brown, Likoebe M. Maruping, and Hillol Bala",2008,"Predicting Different Conceptualizations of System Use: The Competing Roles of Behavioral Intention, Facilitating Conditions, and Behavioral Expectation",MIS Quarterly
18,Frequency of use,Frequency of Use,"Viswanath Venkatesh, Susan A. Brown, Likoebe M. Maruping, and Hillol Bala",2008,"Predicting Different Conceptualizations of System Use: The Competing Roles of Behavioral Intention, Facilitating Conditions, and Behavioral Expectation",MIS Quarterly
19,Intensity of Use,Intensity of Use,"Viswanath Venkatesh, Susan A. Brown, Likoebe M. Maruping, and Hillol Bala",2008,"Predicting Different Conceptualizations of System Use: The Competing Roles of Behavioral Intention, Facilitating Conditions, and Behavioral Expectation",MIS Quarterly
20,Gender,Gender,"Viswanath Venkatesh, Susan A. Brown, Likoebe M. Maruping, and Hillol Bala",2008,"Predicting Different Conceptualizations of System Use: The Competing Roles of Behavioral Intention, Facilitating Conditions, and Behavioral Expectation",MIS Quarterly
21,Age,Age,"Viswanath Venkatesh, Susan A. Brown, Likoebe M. Maruping, and Hillol Bala",2008,"Predicting Different Conceptualizations of System Use: The Competing Roles of Behavioral Intention, Facilitating Conditions, and Behavioral Expectation",MIS Quarterly
22,Portal Affiliation,Portal Affiliation,"Choon Ling Sia, Kai H. Lim, Kwok Leung, Matthew K. O. Lee, Wayne Wei Huang, and Izak Benbasat",2009,Web Strategies to Promote Internet Shopping: Is Cultural-Customization Needed?,MIS Quarterly
23,Peer Customer Endorsement,Peer Customer Endorsement,"Choon Ling Sia, Kai H. Lim, Kwok Leung, Matthew K. O. Lee, Wayne Wei Huang, and Izak Benbasat",2009,Web Strategies to Promote Internet Shopping: Is Cultural-Customization Needed?,MIS Quarterly
24,Trusting Beliefs,Trusting Beliefs,"Choon Ling Sia, Kai H. Lim, Kwok Leung, Matthew K. O. Lee, Wayne Wei Huang, and Izak Benbasat",2009,Web Strategies to Promote Internet Shopping: Is Cultural-Customization Needed?,MIS Quarterly
25,Attitude,Attitude,"Choon Ling Sia, Kai H. Lim, Kwok Leung, Matthew K. O. Lee, Wayne Wei Huang, and Izak Benbasat",2009,Web Strategies to Promote Internet Shopping: Is Cultural-Customization Needed?,MIS Quarterly
26,Intention to Buy,Intention to Buy,"Choon Ling Sia, Kai H. Lim, Kwok Leung, Matthew K. O. Lee, Wayne Wei Huang, and Izak Benbasat",2009,Web Strategies to Promote Internet Shopping: Is Cultural-Customization Needed?,MIS Quarterly
27,Actual Buying,Actual Buying Behavior,"Choon Ling Sia, Kai H. Lim, Kwok Leung, Matthew K. O. Lee, Wayne Wei Huang, and Izak Benbasat",2009,Web Strategies to Promote Internet Shopping: Is Cultural-Customization Needed?,MIS Quarterly
28,Defense of Necessity,Defense of Necessity,Mikko Siponen and Anthony Vance,2010,Neutralization: New Insights into the Problem of Employee Systems Security Policy Violations,MIS Quarterly
29,Appeal to Higher Loyalities,Appeal to Higher Loyalties,Mikko Siponen and Anthony Vance,2010,Neutralization: New Insights into the Problem of Employee Systems Security Policy Violations,MIS Quarterly
30,Condemn the Condemners,Condemnation of the Condemners,Mikko Siponen and Anthony Vance,2010,Neutralization: New Insights into the Problem of Employee Systems Security Policy Violations,MIS Quarterly
31,Metaphor of the Ledger,Metaphor of the Ledger,Mikko Siponen and Anthony Vance,2010,Neutralization: New Insights into the Problem of Employee Systems Security Policy Violations,MIS Quarterly
32,Denial of Injury,Denial of Injury,Mikko Siponen and Anthony Vance,2010,Neutralization: New Insights into the Problem of Employee Systems Security Policy Violations,MIS Quarterly
33,Denial of Responsibility,Denial of Responsibility,Mikko Siponen and Anthony Vance,2010,Neutralization: New Insights into the Problem of Employee Systems Security Policy Violations,MIS Quarterly
34,Neutralization,Neutralization,Mikko Siponen and Anthony Vance,2010,Neutralization: New Insights into the Problem of Employee Systems Security Policy Violations,MIS Quarterly
35,Intention to Violate IS Security Policy,Intention to Violate Information Systems Security Policy,Mikko Siponen and Anthony Vance,2010,Neutralization: New Insights into the Problem of Employee Systems Security Policy Violations,MIS Quarterly
36,Formal Sanctions,Formal Sanctions,Mikko Siponen and Anthony Vance,2010,Neutralization: New Insights into the Problem of Employee Systems Security Policy Violations,MIS Quarterly
37,Informal Sanctions,Informal Sanctions,Mikko Siponen and Anthony Vance,2010,Neutralization: New Insights into the Problem of Employee Systems Security Policy Violations,MIS Quarterly
38,Shame,Shame,Mikko Siponen and Anthony Vance,2010,Neutralization: New Insights into the Problem of Employee Systems Security Policy Violations,MIS Quarterly
39,Sample,Sample,Mikko Siponen and Anthony Vance,2010,Neutralization: New Insights into the Problem of Employee Systems Security Policy Violations,MIS Quarterly
40,Scenario,Hypothetical Scenario,Mikko Siponen and Anthony Vance,2010,Neutralization: New Insights into the Problem of Employee Systems Security Policy Violations,MIS Quarterly
41,Realism,Realism,Mikko Siponen and Anthony Vance,2010,Neutralization: New Insights into the Problem of Employee Systems Security Policy Violations,MIS Quarterly
42,Gender,Gender,Mikko Siponen and Anthony Vance,2010,Neutralization: New Insights into the Problem of Employee Systems Security Policy Violations,MIS Quarterly
43,Age,Age,Mikko Siponen and Anthony Vance,2010,Neutralization: New Insights into the Problem of Employee Systems Security Policy Violations,MIS Quarterly
44,Work Experience,Work Experience,Mikko Siponen and Anthony Vance,2010,Neutralization: New Insights into the Problem of Employee Systems Security Policy Violations,MIS Quarterly
45,User Participation in SRM,User Participation in Security Risk Management,Janine L. Spears and Henri Barki,2010,User Participation in Information Systems Security Risk Management,MIS Quarterly
46,User Participation in Controls,User Participation in Controls,Janine L. Spears and Henri Barki,2010,User Participation in Information Systems Security Risk Management,MIS Quarterly
47,User Participation in Accountability,User Participation in Accountability,Janine L. Spears and Henri Barki,2010,User Participation in Information Systems Security Risk Management,MIS Quarterly
48,User Participation,User Participation,Janine L. Spears and Henri Barki,2010,User Participation in Information Systems Security Risk Management,MIS Quarterly
49,Awareness,Organizational Awareness,Janine L. Spears and Henri Barki,2010,User Participation in Information Systems Security Risk Management,MIS Quarterly
50,Demonstrated Ownership,Demonstrated Ownership,Janine L. Spears and Henri Barki,2010,User Participation in Information Systems Security Risk Management,MIS Quarterly
51,Organizational Awareness,Organizational Awareness,Janine L. Spears and Henri Barki,2010,User Participation in Information Systems Security Risk Management,MIS Quarterly
52,User Business Perspective,User Business Perspective,Janine L. Spears and Henri Barki,2010,User Participation in Information Systems Security Risk Management,MIS Quarterly
53,Business-based Strategy,Business-Based Strategy,Janine L. Spears and Henri Barki,2010,User Participation in Information Systems Security Risk Management,MIS Quarterly
54,Business-Aligned SRM,Business-Aligned Security Risk Management,Janine L. Spears and Henri Barki,2010,User Participation in Information Systems Security Risk Management,MIS Quarterly
55,Access Control,Access Control,Janine L. Spears and Henri Barki,2010,User Participation in Information Systems Security Risk Management,MIS Quarterly
56,Segregated Duties,Segregation of Duties,Janine L. Spears and Henri Barki,2010,User Participation in Information Systems Security Risk Management,MIS Quarterly
57,Security Policy,Security Policy,Janine L. Spears and Henri Barki,2010,User Participation in Information Systems Security Risk Management,MIS Quarterly
58,Control Development,Control Development,Janine L. Spears and Henri Barki,2010,User Participation in Information Systems Security Risk Management,MIS Quarterly
59,Reduced Deficiencies,Reduced Control Deficiencies,Janine L. Spears and Henri Barki,2010,User Participation in Information Systems Security Risk Management,MIS Quarterly
60,Increased Efficiencies,Increased Efficiencies,Janine L. Spears and Henri Barki,2010,User Participation in Information Systems Security Risk Management,MIS Quarterly
61,Control Performance,Control Performance,Janine L. Spears and Henri Barki,2010,User Participation in Information Systems Security Risk Management,MIS Quarterly
62,Information Security Policy Awareness,Information Security Policy Awareness,"Burcu Bulgurcu, Hasan Cavusoglu, Izak Benbasat",2010,Information Security Policy Compliance: An Empirical Study of Rationality-Based Beliefs and Information Security Awareness,MIS Quarterly
63,Information Security Awareness,Information Security Awareness,"Burcu Bulgurcu, Hasan Cavusoglu, Izak Benbasat",2010,Information Security Policy Compliance: An Empirical Study of Rationality-Based Beliefs and Information Security Awareness,MIS Quarterly
64,General Awareness,General Awareness,"Burcu Bulgurcu, Hasan Cavusoglu, Izak Benbasat",2010,Information Security Policy Compliance: An Empirical Study of Rationality-Based Beliefs and Information Security Awareness,MIS Quarterly
65,Intrinsic Benefit,Intrinsic Benefit,"Burcu Bulgurcu, Hasan Cavusoglu, Izak Benbasat",2010,Information Security Policy Compliance: An Empirical Study of Rationality-Based Beliefs and Information Security Awareness,MIS Quarterly
66,Safety,Safety of Resources,"Burcu Bulgurcu, Hasan Cavusoglu, Izak Benbasat",2010,Information Security Policy Compliance: An Empirical Study of Rationality-Based Beliefs and Information Security Awareness,MIS Quarterly
67,Rewards,Rewards,"Burcu Bulgurcu, Hasan Cavusoglu, Izak Benbasat",2010,Information Security Policy Compliance: An Empirical Study of Rationality-Based Beliefs and Information Security Awareness,MIS Quarterly
68,Work Impediment,Work Impediment,"Burcu Bulgurcu, Hasan Cavusoglu, Izak Benbasat",2010,Information Security Policy Compliance: An Empirical Study of Rationality-Based Beliefs and Information Security Awareness,MIS Quarterly
69,Intrinsic Cost,Intrinsic Cost,"Burcu Bulgurcu, Hasan Cavusoglu, Izak Benbasat",2010,Information Security Policy Compliance: An Empirical Study of Rationality-Based Beliefs and Information Security Awareness,MIS Quarterly
70,Vulnerability,Vulnerability of Resources,"Burcu Bulgurcu, Hasan Cavusoglu, Izak Benbasat",2010,Information Security Policy Compliance: An Empirical Study of Rationality-Based Beliefs and Information Security Awareness,MIS Quarterly
71,Sanctions,Sanctions,"Burcu Bulgurcu, Hasan Cavusoglu, Izak Benbasat",2010,Information Security Policy Compliance: An Empirical Study of Rationality-Based Beliefs and Information Security Awareness,MIS Quarterly
72,Benefit of Compliance,Perceived Benefit of Compliance,"Burcu Bulgurcu, Hasan Cavusoglu, Izak Benbasat",2010,Information Security Policy Compliance: An Empirical Study of Rationality-Based Beliefs and Information Security Awareness,MIS Quarterly
73,Cost of Compliance,Perceived Cost of Compliance,"Burcu Bulgurcu, Hasan Cavusoglu, Izak Benbasat",2010,Information Security Policy Compliance: An Empirical Study of Rationality-Based Beliefs and Information Security Awareness,MIS Quarterly
74,Cost of Noncompliance,Perceived Cost of Noncompliance,"Burcu Bulgurcu, Hasan Cavusoglu, Izak Benbasat",2010,Information Security Policy Compliance: An Empirical Study of Rationality-Based Beliefs and Information Security Awareness,MIS Quarterly
75,Attitude,Attitude,"Burcu Bulgurcu, Hasan Cavusoglu, Izak Benbasat",2010,Information Security Policy Compliance: An Empirical Study of Rationality-Based Beliefs and Information Security Awareness,MIS Quarterly
76,Normative Beliefs,Normative Beliefs,"Burcu Bulgurcu, Hasan Cavusoglu, Izak Benbasat",2010,Information Security Policy Compliance: An Empirical Study of Rationality-Based Beliefs and Information Security Awareness,MIS Quarterly
77,Intention to Comply,Intention to Comply,"Burcu Bulgurcu, Hasan Cavusoglu, Izak Benbasat",2010,Information Security Policy Compliance: An Empirical Study of Rationality-Based Beliefs and Information Security Awareness,MIS Quarterly
78,Self-Efficacy to Comply,Self Efficacy to Comply,"Burcu Bulgurcu, Hasan Cavusoglu, Izak Benbasat",2010,Information Security Policy Compliance: An Empirical Study of Rationality-Based Beliefs and Information Security Awareness,MIS Quarterly
79,Anger,Anger,Anne Beaudry and Alain Pinsonneault,2010,The Other Side of Acceptance: Studying the Direct and Indirect Effects of Emotions on Information Technology Use,MIS Quarterly
80,Anxiety,Anxiety,Anne Beaudry and Alain Pinsonneault,2010,The Other Side of Acceptance: Studying the Direct and Indirect Effects of Emotions on Information Technology Use,MIS Quarterly
81,Venting,Venting,Anne Beaudry and Alain Pinsonneault,2010,The Other Side of Acceptance: Studying the Direct and Indirect Effects of Emotions on Information Technology Use,MIS Quarterly
82,Seek Soc Support,Seeking Social Support,Anne Beaudry and Alain Pinsonneault,2010,The Other Side of Acceptance: Studying the Direct and Indirect Effects of Emotions on Information Technology Use,MIS Quarterly
83,Distancing,Psychological Distancing,Anne Beaudry and Alain Pinsonneault,2010,The Other Side of Acceptance: Studying the Direct and Indirect Effects of Emotions on Information Technology Use,MIS Quarterly
84,IT Use,Information Technology Use,Anne Beaudry and Alain Pinsonneault,2010,The Other Side of Acceptance: Studying the Direct and Indirect Effects of Emotions on Information Technology Use,MIS Quarterly
85,Resource Allocation,Resource Allocation,Anne Beaudry and Alain Pinsonneault,2010,The Other Side of Acceptance: Studying the Direct and Indirect Effects of Emotions on Information Technology Use,MIS Quarterly
86,Information,Information,Anne Beaudry and Alain Pinsonneault,2010,The Other Side of Acceptance: Studying the Direct and Indirect Effects of Emotions on Information Technology Use,MIS Quarterly
87,Negotiator,Negotiator,Anne Beaudry and Alain Pinsonneault,2010,The Other Side of Acceptance: Studying the Direct and Indirect Effects of Emotions on Information Technology Use,MIS Quarterly
88,Figurehead,Figurehead,Anne Beaudry and Alain Pinsonneault,2010,The Other Side of Acceptance: Studying the Direct and Indirect Effects of Emotions on Information Technology Use,MIS Quarterly
89,Happiness,Happiness,Anne Beaudry and Alain Pinsonneault,2010,The Other Side of Acceptance: Studying the Direct and Indirect Effects of Emotions on Information Technology Use,MIS Quarterly
90,Excitement,Excitement,Anne Beaudry and Alain Pinsonneault,2010,The Other Side of Acceptance: Studying the Direct and Indirect Effects of Emotions on Information Technology Use,MIS Quarterly
91,Task Adaptation,Task Adaptation,Anne Beaudry and Alain Pinsonneault,2010,The Other Side of Acceptance: Studying the Direct and Indirect Effects of Emotions on Information Technology Use,MIS Quarterly
92,Seek Instr. Support,Seeking Instrumental Support,Anne Beaudry and Alain Pinsonneault,2010,The Other Side of Acceptance: Studying the Direct and Indirect Effects of Emotions on Information Technology Use,MIS Quarterly
93,Support for modeling business rules,Support for Modeling Business Rules,"Jan Recker, Michael Rosemann, Peter Green, and Marta Indulska",2011,Do Ontological Deficiencies in Modeling Grammars Matter?,MIS Quarterly
94,Support for modeling logs of state changes,Support for Modeling Logs of State Changes,"Jan Recker, Michael Rosemann, Peter Green, and Marta Indulska",2011,Do Ontological Deficiencies in Modeling Grammars Matter?,MIS Quarterly
95,Support for modeling the structure of the modeled process,Support for Modeling the Structure of the Modeled [truncated],"Jan Recker, Michael Rosemann, Peter Green, and Marta Indulska",2011,Do Ontological Deficiencies in Modeling Grammars Matter?,MIS Quarterly
96,Support for modeling real-world objects,Support for Modeling Real World Objects,"Jan Recker, Michael Rosemann, Peter Green, and Marta Indulska",2011,Do Ontological Deficiencies in Modeling Grammars Matter?,MIS Quarterly
97,Support for modeling transformations,Support for Modeling Transformations,"Jan Recker, Michael Rosemann, Peter Green, and Marta Indulska",2011,Do Ontological Deficiencies in Modeling Grammars Matter?,MIS Quarterly
98,Support for modeling events,Support for Modeling Events,"Jan Recker, Michael Rosemann, Peter Green, and Marta Indulska",2011,Do Ontological Deficiencies in Modeling Grammars Matter?,MIS Quarterly
99,Use of the Pool symbol,Use of the Pool symbol,"Jan Recker, Michael Rosemann, Peter Green, and Marta Indulska",2011,Do Ontological Deficiencies in Modeling Grammars Matter?,MIS Quarterly
100,Use of the Lane symbol,Use of the Business Process Model and Notation [truncated],"Jan Recker, Michael Rosemann, Peter Green, and Marta Indulska",2011,Do Ontological Deficiencies in Modeling Grammars Matter?,MIS Quarterly
101,Use of the Basic Event symbol,Use of the Basic Event symbol,"Jan Recker, Michael Rosemann, Peter Green, and Marta Indulska",2011,Do Ontological Deficiencies in Modeling Grammars Matter?,MIS Quarterly
102,Use of the Text Annotation symbol,Text Annotation,"Jan Recker, Michael Rosemann, Peter Green, and Marta Indulska",2011,Do Ontological Deficiencies in Modeling Grammars Matter?,MIS Quarterly
103,Use of the Off-page Connector symbol,Use of the Off Page Connector symbol,"Jan Recker, Michael Rosemann, Peter Green, and Marta Indulska",2011,Do Ontological Deficiencies in Modeling Grammars Matter?,MIS Quarterly
104,Use of the Multiple Instances symbol,Multiple Instances,"Jan Recker, Michael Rosemann, Peter Green, and Marta Indulska",2011,Do Ontological Deficiencies in Modeling Grammars Matter?,MIS Quarterly
105,Perceived Usefulness,Perceived Usefulness,"Jan Recker, Michael Rosemann, Peter Green, and Marta Indulska",2011,Do Ontological Deficiencies in Modeling Grammars Matter?,MIS Quarterly
106,Perceived Ease of Use,Perceived Ease of Use,"Jan Recker, Michael Rosemann, Peter Green, and Marta Indulska",2011,Do Ontological Deficiencies in Modeling Grammars Matter?,MIS Quarterly
107,Security,Security,"John D. Wells, Joseph S. Valacich, and Traci J. Hess",2011,What Signals Are You Sending? How Website Quality Influences Perceptions of Product Quality and Purchase Intentions,MIS Quarterly
108,Download Delay,Download Delay,"John D. Wells, Joseph S. Valacich, and Traci J. Hess",2011,What Signals Are You Sending? How Website Quality Influences Perceptions of Product Quality and Purchase Intentions,MIS Quarterly
109,Navigability,Navigability,"John D. Wells, Joseph S. Valacich, and Traci J. Hess",2011,What Signals Are You Sending? How Website Quality Influences Perceptions of Product Quality and Purchase Intentions,MIS Quarterly
110,Visual Appeal,Visual Appeal,"John D. Wells, Joseph S. Valacich, and Traci J. Hess",2011,What Signals Are You Sending? How Website Quality Influences Perceptions of Product Quality and Purchase Intentions,MIS Quarterly
111,Web Site Quality,Website Quality,"John D. Wells, Joseph S. Valacich, and Traci J. Hess",2011,What Signals Are You Sending? How Website Quality Influences Perceptions of Product Quality and Purchase Intentions,MIS Quarterly
112,Asymmetries of Information,Asymmetries of Information,"John D. Wells, Joseph S. Valacich, and Traci J. Hess",2011,What Signals Are You Sending? How Website Quality Influences Perceptions of Product Quality and Purchase Intentions,MIS Quarterly
113,Signal Credibility,Signal Credibility,"John D. Wells, Joseph S. Valacich, and Traci J. Hess",2011,What Signals Are You Sending? How Website Quality Influences Perceptions of Product Quality and Purchase Intentions,MIS Quarterly
114,Product Quality,Product Quality,"John D. Wells, Joseph S. Valacich, and Traci J. Hess",2011,What Signals Are You Sending? How Website Quality Influences Perceptions of Product Quality and Purchase Intentions,MIS Quarterly
115,Behavioral Intention,Behavioral Intention,"John D. Wells, Joseph S. Valacich, and Traci J. Hess",2011,What Signals Are You Sending? How Website Quality Influences Perceptions of Product Quality and Purchase Intentions,MIS Quarterly
116,Computer Playfulness,Computer Playfulness,"John D. Wells, Joseph S. Valacich, and Traci J. Hess",2011,What Signals Are You Sending? How Website Quality Influences Perceptions of Product Quality and Purchase Intentions,MIS Quarterly
117,System Capability Shortcomings,System Capability Shortcomings,Brent Furneaux and Michael Wade,2011,An Exploration of Organizational Level Information Systems Discontinuance Intentions,MIS Quarterly
118,System Reliability,System Reliability,Brent Furneaux and Michael Wade,2011,An Exploration of Organizational Level Information Systems Discontinuance Intentions,MIS Quarterly
119,System Support Availability,System Support Availability,Brent Furneaux and Michael Wade,2011,An Exploration of Organizational Level Information Systems Discontinuance Intentions,MIS Quarterly
120,System Support Cost,System Support Cost,Brent Furneaux and Michael Wade,2011,An Exploration of Organizational Level Information Systems Discontinuance Intentions,MIS Quarterly
121,Replacement Intention,Replacement Intention,Brent Furneaux and Michael Wade,2011,An Exploration of Organizational Level Information Systems Discontinuance Intentions,MIS Quarterly
122,System Investment,System Investment,Brent Furneaux and Michael Wade,2011,An Exploration of Organizational Level Information Systems Discontinuance Intentions,MIS Quarterly
123,Technical Integration,Technical Integration,Brent Furneaux and Michael Wade,2011,An Exploration of Organizational Level Information Systems Discontinuance Intentions,MIS Quarterly
124,Facial Similarity,Facial Similarity,"Kil-Soo Suh, Hongki Kim, and Eung Kyo Suh",2011,What If Your Avatar Looks Like You? Dual-Congruity Perspectives for Avatar Use,MIS Quarterly
125,Body Similarity,Body Similarity,"Kil-Soo Suh, Hongki Kim, and Eung Kyo Suh",2011,What If Your Avatar Looks Like You? Dual-Congruity Perspectives for Avatar Use,MIS Quarterly
126,Avatar Identification,Avatar Identification,"Kil-Soo Suh, Hongki Kim, and Eung Kyo Suh",2011,What If Your Avatar Looks Like You? Dual-Congruity Perspectives for Avatar Use,MIS Quarterly
